FARIDABAD	PER_Others
:	O
Two	O
persons	O
have	O
been	O
detained	O
for	O
questioning	O
by	O
Faridabad	ORG_Others
Police	ORG_Others
in	O
connection	O
with	O
a	O
call	O
allegedly	O
made	O
to	O
Delhi	ORG_Victim
Police	ORG_Victim
on	O
Friday	O
,	O
saying	O
that	O
the	O
capital	O
will	O
witness	O
another	O
blast	O
.	O
-LRB-	O
Watch	O
-RRB-	O
The	O
two	O
men	O
were	O
detained	O
on	O
Saturday	O
night	O
after	O
Delhi	LOC_Event
was	O
hit	O
by	O
a	O
bomb	O
blast	O
in	O
Mehrauli	LOC_Event
area	O
in	O
which	O
three	O
people	O
have	O
succumbed	O
to	O
their	O
injuries	O
and	O
23	O
others	O
have	O
been	O
wounded	O
,	O
a	O
Faridabad	ORG_Others
Police	ORG_Others
officer	O
said	O
on	O
Sunday	O
.	O
He	O
said	O
the	O
call	O
was	O
traced	O
to	O
a	O
cell	O
phone	O
belonging	O
to	O
man	O
from	O
Aligarh	LOC_Accused
in	O
Uttar	LOC_Accused
Pradesh	LOC_Accused
,	O
who	O
had	O
allegedly	O
made	O
the	O
call	O
to	O
Delhi	ORG_Others
Police	ORG_Others
on	O
Friday	O
evening	O
.	O
The	O
man	O
,	O
who	O
had	O
made	O
the	O
call	O
from	O
the	O
vicinity	O
of	O
a	O
mobile	O
phone	O
tower	O
in	O
Mohan	LOC_Others
Nagar	LOC_Others
area	O
,	O
had	O
stated	O
`	O
Delhi	O
bachaloh	O
,	O
blast	O
hoga	O
'	O
-LRB-	O
Save	O
Delhi	LOC_Others
,	O
there	O
will	O
be	O
blast	O
-RRB-	O
,	O
he	O
said	O
.	O
The	O
man	O
had	O
allegedly	O
purchased	O
the	O
SIM	O
card	O
from	O
a	O
shopowner	O
in	O
Bhikam	LOC_Others
Colony	LOC_Others
in	O
Ballabgarh	LOC_Others
area	O
,	O
the	O
police	O
officer	O
said	O
,	O
adding	O
that	O
the	O
two	O
have	O
been	O
detained	O
for	O
questioning	O
and	O
that	O
they	O
have	O
not	O
yet	O
been	O
arrested.On	O
Saturday	O
,	O
a	O
crude	O
bomb	O
exploded	O
at	O
a	O
crowded	O
flower	O
market	O
at	O
Mehrauli	LOC_Event
,	O
south	LOC_Event
Delhi	LOC_Event
,	O
close	O
to	O
the	O
historic	O
Qutub	LOC_Others
Minar	LOC_Others
,	O
at	O
2.05	O
pm	O
.	O
-LRB-	O
Watch	O
-RRB-	O
A	O
nine-year-old	O
boy	O
,	O
who	O
innocently	O
picked	O
up	O
a	O
black	O
polythene	O
bag	O
containing	O
a	O
tiffin	O
box	O
bomb	O
,	O
was	O
killed	O
on	O
the	O
spot	O
as	O
it	O
exploded	O
in	O
his	O
face.One	O
of	O
the	O
injured	O
--	O
a	O
60-year-old	O
unidentified	O
man	O
whose	O
cervical	O
was	O
badly	O
fractured	O
--	O
succumbed	O
at	O
the	O
All	ORG_Others
India	ORG_Others
Institute	ORG_Others
of	ORG_Others
Medical	ORG_Others
Sciences	ORG_Others
late	O
in	O
the	O
evening	O
,	O
AIIMS	ORG_Others
sources	O
said.Police	O
have	O
ruled	O
out	O
the	O
involvement	O
of	O
the	O
Indian	ORG_Accused
Mujahideen	ORG_Accused
-LRB-	O
IM	O
-RRB-	O
.	O
Six	O
people	O
were	O
detained	O
in	O
connection	O
with	O
the	O
blast	O
as	O
security	O
was	O
stepped	O
up	O
in	O
the	O
capital	O
.	O
Delhi	ORG_Others
Police	ORG_Others
was	O
not	O
willing	O
to	O
confirm	O
that	O
it	O
had	O
received	O
warning	O
of	O
a	O
strike	O
from	O
an	O
anonymous	O
caller	O
in	O
Faridabad	LOC_Others
or	O
that	O
it	O
had	O
received	O
an	O
email	O
to	O
that	O
effect	O
on	O
September	O
24	O
.	O
According	O
to	O
eyewitnesses	O
,	O
the	O
electronic	O
goods	O
market	O
was	O
packed	O
with	O
shoppers	O
when	O
a	O
black	O
Pulsar	O
motorbike	O
went	O
through	O
the	O
narrow	O
lane	O
intent	O
on	O
its	O
deadly	O
business	O
.	O
It	O
had	O
two	O
helmeted	O
riders	O
,	O
who	O
dropped	O
the	O
polythene	O
bag	O
with	O
its	O
deadly	O
payload	O
in	O
the	O
middle	O
of	O
the	O
road	O
,	O
in	O
front	O
of	O
a	O
shop	O
,	O
Anisha	ORG_Others
Electronics	ORG_Others
.	O
-LRB-	O
Watch	O
-RRB-	O
Out	O
on	O
an	O
errand	O
,	O
the	O
nine-year-old	O
boy	O
,	O
Santosh	PER_Others
,	O
thought	O
the	O
men	O
had	O
unknowingly	O
dropped	O
the	O
bag	O
.	O
In	O
a	O
heartbreaking	O
act	O
of	O
kindness	O
to	O
strangers	O
,	O
Santosh	PER_Others
rushed	O
to	O
pick	O
it	O
up	O
,	O
running	O
after	O
them	O
as	O
he	O
shouted	O
for	O
them	O
to	O
stop	O
.	O
It	O
was	O
then	O
that	O
white	O
smoke	O
began	O
to	O
pour	O
out	O
of	O
the	O
bag	O
.	O
The	O
little	O
boy	O
dropped	O
it	O
,	O
but	O
too	O
late	O
to	O
save	O
his	O
own	O
life.This	O
happened	O
around	O
2.05	O
pm	O
.	O
The	O
victims	O
were	O
rushed	O
to	O
AIIMS	ORG_Others
and	O
Fortis	ORG_Others
hospitals	ORG_Others
,	O
where	O
10	O
of	O
them	O
are	O
reported	O
to	O
be	O
critical	O
while	O
others	O
are	O
out	O
of	O
danger	O
,	O
said	O
hospital	O
sources.Police	O
said	O
that	O
the	O
blast	O
appeared	O
to	O
be	O
similar	O
in	O
nature	O
to	O
the	O
ones	O
that	O
took	O
place	O
near	O
IIT	LOC_Others
and	O
Lado	LOC_Others
Sarai	LOC_Others
in	O
January	O
,	O
February	O
this	O
year	O
.	O
A	O
team	O
of	O
National	ORG_Others
Security	ORG_Others
Guard	ORG_Others
-LRB-	O
NSG	ORG_Others
-RRB-	O
reached	O
the	O
spot	O
with	O
sniffer	O
dogs	O
and	O
was	O
examining	O
the	O
blast	O
site	O
.	O
A	O
team	O
of	O
forensic	O
experts	O
have	O
also	O
reached	O
the	O
spot	O
.	O
The	O
national	O
capital	O
has	O
been	O
put	O
on	O
high	O
alert	O
.	O
The	O
explosion	O
comes	O
exactly	O
two	O
weeks	O
after	O
the	O
serial	O
blasts	O
in	O
Delhi	LOC_Others
,	O
in	O
which	O
about	O
two	O
dozen	O
people	O
were	O
killed	O
.	O
Ammonium	O
Nitrate	O
in	O
little	O
quantity	O
along	O
with	O
Sulphar	O
and	O
Potassium	O
was	O
used	O
in	O
Saturday	O
's	O
blast	O
in	O
South	LOC_Others
Delhi	LOC_Others
's	O
Mehrauli	LOC_Others
area	O
that	O
killed	O
two	O
people	O
and	O
left	O
nearly	O
two	O
dozen	O
people	O
injured	O
.	O
Officials	O
said	O
loosely	O
packed	O
Ammonium	O
Nitrate	O
with	O
one-and-a-half	O
inch	O
nails	O
,	O
which	O
acted	O
as	O
shrapnels	O
leading	O
to	O
injuries	O
,	O
was	O
used	O
in	O
the	O
blast	O
with	O
quantity	O
of	O
Sulphur	O
used	O
to	O
create	O
the	O
dark	O
smoke	O
.	O
Potassium	O
was	O
used	O
as	O
the	O
triggering	O
mechanism	O
as	O
this	O
material	O
burns	O
due	O
to	O
friction	O
and	O
contact	O
with	O
air	O
.	O
The	O
packing	O
of	O
explosive	O
was	O
very	O
loose	O
thus	O
making	O
it	O
a	O
low-intensity	O
explosion	O
.	O
Ammonium	O
Nitrate	O
was	O
used	O
in	O
the	O
five	O
serial	O
blasts	O
that	O
shook	O
the	O
national	O
capital	O
on	O
September	O
13	O
,	O
leaving	O
24	O
people	O
dead	O
and	O
many	O
others	O
injured	O
.	O
In	O
order	O
to	O
restrict	O
sale	O
of	O
Ammonium	O
Nitrate	O
,	O
used	O
extensively	O
by	O
terror	O
groups	O
to	O
strike	O
in	O
various	O
parts	O
of	O
the	O
country	O
,	O
the	O
government	O
had	O
`	O
in-principle	O
'	O
approved	O
for	O
amendment	O
of	O
the	O
Explosives	O
Substances	O
Act	O
to	O
include	O
it	O
.	O
.	O
.	O
The	O
in-principle	O
approval	O
was	O
given	O
at	O
a	O
special	O
cabinet	O
meeting	O
chaired	O
by	O
Prime	O
Minister	O
Manmohan	PER_Others
Singh	PER_Others
last	O
week	O
.	O
The	O
chemical	O
was	O
believed	O
to	O
have	O
been	O
used	O
in	O
recent	O
series	O
of	O
explosions	O
in	O
Bangalore	LOC_Others
,	O
Ahmedabad	LOC_Others
and	O
Delhi	LOC_Others
and	O
in	O
