LUDHIANA	LOC_Event
:	O
Police	O
on	O
Thursday	O
raided	O
the	O
hideouts	O
of	O
Gurpreet	PER_Accused
Singh	PER_Accused
,	O
a	O
suspect	O
in	O
the	O
recent	O
cinema	O
hall	O
blast	O
here	O
which	O
killed	O
six	O
persons	O
and	O
injured	O
32	O
others.The	O
suspect	O
with	O
a	O
terrorist	O
background	O
has	O
been	O
on	O
the	O
run	O
since	O
September	O
two	O
last	O
when	O
his	O
car	O
carrying	O
3.5	O
kgs	O
of	O
RDX	O
,	O
a	O
50-metre	O
wire	O
,	O
a	O
detonator	O
,	O
iron	O
pipes	O
and	O
sockets	O
was	O
intercepted	O
by	O
the	O
police	O
on	O
the	O
Ludhiana-Ferozepur	LOC_Accused
National	LOC_Accused
Highway.Gurpreet	LOC_Accused
had	O
abandoned	O
the	O
vehicle	O
and	O
disappeared	O
by	O
hoodwinking	O
the	O
police	O
party.Police	O
intensified	O
their	O
search	O
for	O
Gurpreet	PER_Accused
when	O
forensic	O
teams	O
found	O
traces	O
of	O
RDX	O
in	O
the	O
blast	O
at	O
a	O
cinema	O
hall	O
here.The	O
raids	O
conducted	O
today	O
have	O
not	O
yielded	O
any	O
clues	O
to	O
Gurpreet	PER_Accused
's	O
whereabouts	O
so	O
far	O
,	O
they	O
said.However	O
,	O
efforts	O
are	O
on	O
to	O
track	O
him	O
down	O
with	O
a	O
large	O
number	O
of	O
his	O
friends	O
and	O
family	O
members	O
being	O
questioned	O
,	O
they	O
added	O
.	O
