SRINAGAR	LOC_Event
,	O
Aug	O
10	O
In	O
the	O
first	O
major	O
strike	O
after	O
the	O
withdrawal	O
of	O
ceasefire	O
,	O
suspected	O
Hizbul	ORG_Accused
Mujahideen	ORG_Accused
militants	O
today	O
triggered	O
a	O
powerful	O
car	O
bomb	O
blast	O
,	O
killing	O
12	O
persons	O
including	O
10	O
policemen	O
and	O
a	O
photographer	O
of	O
a	O
national	O
daily	O
in	O
a	O
decoy	O
grenade	O
attack	O
here	O
.	O
.	O
.	O
Eyewitnesses	O
put	O
the	O
death	O
toll	O
at	O
14	O
,	O
including	O
12	O
securitymen	O
,	O
in	O
the	O
blast	O
which	O
Army	ORG_Others
experts	O
believed	O
was	O
triggered	O
by	O
PETN	O
chemical	O
explosive	O
at	O
the	O
fashionable	O
Residency	O
Road	O
.	O
.	O
.	O
The	O
policemen	O
killed	O
were	O
identified	O
as	O
Sub-Inspector	O
Mohammed	PER_Victim
Yaqoob	PER_Victim
and	O
constables	O
Imtiyaz	PER_Victim
Ahmad	PER_Victim
,	O
Nissar	PER_Victim
Ahmad	PER_Victim
,	O
Jan	PER_Victim
Mohammad	PER_Victim
,	O
Devinder	PER_Victim
Singh	PER_Victim
,	O
Nissar	PER_Victim
Ahmad	PER_Victim
,	O
Bodh	PER_Victim
Raj	PER_Victim
and	O
Mohammad	PER_Victim
Ashraf	PER_Victim
.	O
.	O
.	O
Army	ORG_Others
experts	O
said	O
PETN	O
explosive	O
was	O
believed	O
to	O
be	O
used	O
in	O
triggering	O
the	O
explosion	O
.	O
.	O
.	O
The	O
white	O
Ambassador	O
car	O
bearing	O
number	O
JK01B-9001	O
used	O
in	O
the	O
blast	O
is	O
believed	O
to	O
have	O
been	O
stolen	O
one	O
,	O
official	O
sources	O
said	O
.	O
.	O
.	O
Deputy	O
Superintendent	O
of	O
Police	O
Kuldip	PER_Others
Sharma	PER_Others
and	O
Delhi-based	O
photographer	O
Pradip	PER_Others
Kumar	PER_Others
Bhatia	PER_Others
were	O
among	O
the	O
killed	O
in	O
the	O
blast	O
which	O
occurred	O
