Bihar	LOC_Others
Chief	O
Minister	O
Nitish	PER_Others
Kumar	PER_Others
,	O
who	O
visited	O
the	O
Mahabodhi	LOC_Event
temple	LOC_Event
condemned	O
the	O
attack	O
but	O
maintained	O
that	O
security	O
had	O
been	O
provided	O
to	O
the	O
religious	O
site	O
.	O
Any	O
condemnation	O
of	O
this	O
incident	O
would	O
not	O
be	O
enough	O
.	O
Bodh	LOC_Event
Gaya	LOC_Event
is	O
a	O
sacred	O
pilgrimage	O
site	O
and	O
the	O
key	O
location	O
for	O
the	O
faith	O
of	O
millions	O
across	O
the	O
world	O
.	O
To	O
carry	O
out	O
such	O
an	O
attack	O
at	O
such	O
a	O
place	O
in	O
condemnable	O
,	O
he	O
said	O
.	O
The	O
government	O
had	O
always	O
been	O
on	O
the	O
alert	O
and	O
taken	O
steps	O
to	O
ensure	O
the	O
security	O
of	O
the	O
Mahabodhi	LOC_Event
temple	LOC_Event
and	O
Bodh	LOC_Event
Gaya	LOC_Event
in	O
general	O
.	O

RJD	O
chief	O
Lalu	PER_Others
Prasad	PER_Others
Yadav	PER_Others
held	O
the	O
government	O
responsible	O
for	O
failing	O
to	O
act	O
upon	O
intelligence	O
inputs	O
.	O

LJP	ORG_Others
leader	O
Ramvilas	PER_Others
Paswan	PER_Others
demanded	O
Mr.	O
Kumars	O
resignation	O
on	O
moral	O
grounds	O
for	O
failing	O
to	O
prevent	O
the	O
attack	O
despite	O
intelligence	O
inputs	O
.	O
