JAIPUR	LOC_Event
:	O
A	O
restaurant	O
owner	O
from	O
Udaipur	LOC_Accused
is	O
being	O
questioned	O
by	O
police	O
after	O
he	O
claimed	O
to	O
have	O
seen	O
one	O
of	O
the	O
suspected	O
terrorists	O
,	O
whose	O
sketch	O
was	O
released	O
,	O
along	O
with	O
a	O
woman	O
two	O
days	O
ahead	O
of	O
Tuesday	O
's	O
serial	O
blasts	O
here	O
.	O
Meanwhile	O
,	O
eight	O
Bangladeshis	O
were	O
detained	O
in	O
Ajmer	LOC_Accused
in	O
connection	O
with	O
the	O
blasts	O
.	O
The	O
owner	O
of	O
Samor	ORG_Others
Bagh	ORG_Others
restaurant	ORG_Others
in	O
Udaipur	LOC_Others
,	O
Kamal	PER_Others
Joshi	PER_Others
told	O
the	O
police	O
on	O
Friday	O
that	O
a	O
person	O
resembling	O
the	O
sketch	O
,	O
released	O
last	O
night	O
,	O
was	O
seen	O
in	O
his	O
restaurant	O
on	O
Sunday	O
evening	O
.	O
He	O
said	O
that	O
the	O
man	O
was	O
accompanied	O
by	O
a	O
young	O
woman	O
and	O
both	O
of	O
them	O
came	O
to	O
the	O
restaurant	O
at	O
about	O
4	O
pm	O
on	O
Sunday	O
.	O
The	O
woman	O
entered	O
the	O
restaurant	O
wearing	O
a	O
saree	O
but	O
changed	O
into	O
a	O
salwar	O
kameez	O
before	O
leaving	O
with	O
the	O
man	O
,	O
Joshi	PER_Others
said	O
,	O
according	O
to	O
the	O
police	O
.	O
They	O
did	O
not	O
take	O
anything	O
in	O
the	O
restaurant	O
,	O
he	O
said	O
.	O
The	O
in-charge	O
of	O
Surajpole	ORG_Others
police	ORG_Others
station	ORG_Others
Himmat	PER_Others
Singh	PER_Others
said	O
investigations	O
were	O
on	O
to	O
check	O
the	O
movement	O
of	O
the	O
duo	O
in	O
the	O
town	O
.	O
Rajasthan	ORG_Others
Police	ORG_Others
has	O
also	O
detained	O
eight	O
Bangladeshis	O
near	O
the	O
famous	O
Sufi	O
shrine	O
of	O
Khwaja	O
Moinuddin	O
Chisti	O
in	O
Ajmer	LOC_Accused
after	O
they	O
were	O
found	O
to	O
be	O
moving	O
under	O
suspicious	O
circumstances	O
.	O
All	O
the	O
eight	O
are	O
being	O
questioned	O
,	O
Superintendent	O
of	O
Police	O
-LRB-	O
Ajmer	O
-RRB-	O
Anand	PER_Others
Srivastava	PER_Others
said	O
.	O
