DHARAMSALA	LOC_Others
:	O
Terming	O
the	O
series	O
of	O
blasts	O
at	O
Mahabodhi	LOC_Event
temple	LOC_Event
complex	LOC_Event
in	O
Bihar	LOC_Event
as	O

unfortunate	O
'	O
,	O
Tibetan	O
spiritual	O
leader	O
Dalai	PER_Others
Lama	PER_Others
today	O
said	O

few	O
individuals	O
'	O
could	O
be	O
behind	O
the	O
attack	O
.	O

The	O
incident	O
is	O
really	O
unfortunate	O
,	O
'	O
he	O
said	O
,	O
adding	O
that	O
few	O
individuals	O
could	O
be	O
responsible	O
for	O
the	O
attack	O
.	O
The	O
Tibetan	O
government-in-exile	O
said	O
it	O
was	O
deeply	O
saddened	O
over	O
the	O
blasts	O
.	O
'	O
I	O
am	O
deeply	O
saddened	O
to	O
learn	O
about	O
the	O
series	O
of	O
bomb	O
blasts	O
at	O
Mahabodhi	LOC_Event
temple	LOC_Event
.	O
My	O
prayers	O
for	O
the	O
injured	O
and	O
their	O
family	O
members	O
'	O
,	O
Prime	O
Minister	O
of	O
the	O
government-in-exile	O
Lobsang	PER_Others
Sangay	PER_Others
said	O
in	O
a	O
statement	O
here	O
.	O
Nine	O
low-intensity	O
blasts	O
took	O
place	O
early	O
in	O
the	O
morning	O
in	O
quick	O
succession	O
at	O
the	O
1,500-year-old	O
Mahabodhi	LOC_Event
temple	LOC_Event
,	O
annually	O
visited	O
by	O
millions	O
of	O
pilgrims	O
from	O
all	O
over	O
the	O
world	O
.	O
Two	O
monks	O
were	O
injured	O
in	O
the	O
attack	O
.	O
