Kolkata	LOC_Others
:	O
A	O
city	O
court	O
today	O
remanded	O
Burdwan	LOC_Event
blast	O
accused	O
Abdul	PER_Accused
Hakim	PER_Accused
to	O
10	O
days	O
'	O
National	ORG_Others
Investigation	ORG_Others
Agency	ORG_Others
or	O
NIA	ORG_Others
custody	O
after	O
he	O
was	O
produced	O
before	O
it	O
following	O
his	O
release	O
from	O
hospital	O
,	O
where	O
he	O
was	O
undergoing	O
treatment	O
for	O
injuries	O
suffered	O
during	O
the	O
blast.Chief	O
judge	O
,	O
city	O
sessions	O
court	O
,	O
M	PER_Others
Mumtaz	PER_Others
Khan	PER_Others
granted	O
Hakim	PER_Accused
's	O
custody	O
to	O
NIA	ORG_Others
till	O
November	O
14	O
,	O
following	O
a	O
prayer	O
by	O
the	O
agency	O
for	O
15	O
days	O
'	O
custody	O
so	O
that	O
it	O
can	O
interrogate	O
him	O
in	O
connection	O
with	O
the	O
blast.The	O
other	O
three	O
arrested	O
in	O
connection	O
with	O
the	O
case	O
-	O
Hasem	PER_Accused
Mollah	PER_Accused
,	O
Rajia	PER_Accused
Bibi	PER_Accused
and	O
Alima	PER_Accused
Bibi	PER_Accused
-	O
were	O
remanded	O
to	O
judicial	O
custody	O
till	O
November	O
20	O
on	O
a	O
prayer	O
by	O
the	O
NIA	ORG_Others
counsel.Hakim	O
was	O
released	O
from	O
the	O
state-run	O
SSKM	LOC_Event
Hospital	O
today	O
after	O
being	O
treated	O
for	O
splinter	O
injuries.The	O
other	O
three	O
were	O
already	O
in	O
judicial	O
custody.Two	O
persons	O
were	O
killed	O
in	O
the	O
accidental	O
blast	O
in	O
a	O
house	O
at	O
Khagragarh	LOC_Event
in	O
Burdwan	LOC_Event
district	O
on	O
October	O
2	O
,	O
while	O
hand	O
grenades	O
were	O
being	O
manufactured	O
there	O
,	O
leading	O
to	O
the	O
unearthing	O
of	O
an	O
international	O
terror	O
racket	O
.	O
