AHMEDABAD	LOC_Event
:	O
City	O
crime	O
branch	O
has	O
claimed	O
that	O
Amir	PER_Accused
Raza	PER_Accused
Khan	PER_Accused
,	O
at	O
present	O
based	O
in	O
Pakistan	LOC_Accused
,	O
had	O
directed	O
Riyaz	PER_Accused
Bhatkal	PER_Accused
and	O
his	O
brother	O
Iqbal	PER_Accused
to	O
carry	O
out	O
the	O
bomb	O
blasts	O
here	O
on	O
July	O
26	O
.	O
Amir	PER_Accused
Raza	PER_Accused
Khan	PER_Accused
,	O
learnt	O
to	O
be	O
a	O
member	O
of	O
terror	O
outfit	O
HuJI	ORG_Accused
is	O
a	O
resident	O
of	O
Kolkata	LOC_Accused
,	O
while	O
Riyaz	PER_Accused
Bhatkal	PER_Accused
is	O
alleged	O
to	O
be	O
the	O
founder	O
member	O
of	O
Indian	ORG_Accused
Mujahideen	ORG_Accused
-LRB-	O
IM	ORG_Accused
-RRB-	O
.	O
Bhatkal	O
brothers	O
had	O
connived	O
with	O
SIMI	ORG_Accused
leaders	O
to	O
hatch	O
the	O
conspiracy	O
of	O
serial	O
blasts	O
in	O
the	O
city	O
and	O
trained	O
local	O
people	O
,	O
the	O
chargesheet	O
submitted	O
last	O
week	O
by	O
the	O
Crime	O
Branch	O
said	O
,	O
adding	O
,	O
IM	ORG_Accused
was	O
a	O
new	O
form	O
of	O
SIMI	ORG_Accused
.	O
SIMI	ORG_Accused
members	O
Safdar	PER_Accused
Nagori	PER_Accused
,	O
Hafez	PER_Accused
Hussain	PER_Accused
,	O
Sibli	PER_Accused
Abdul	PER_Accused
Karim	PER_Accused
,	O
Kamruddin	PER_Accused
Nagori	PER_Accused
,	O
Amil	PER_Accused
Parvez	PER_Accused
and	O
Mufti	PER_Accused
Abu	PER_Accused
Basher	PER_Accused
planned	O
the	O
attack	O
and	O
asked	O
Abdus	PER_Accused
Subhan	PER_Accused
alias	O
Tauqeer	PER_Accused
and	O
Qayamuddin	PER_Accused
Kapadia	PER_Accused
for	O
executing	O
the	O
blasts	O
.	O
SIMI	ORG_Accused
members	O
organised	O
terror	O
training	O
camps	O
in	O
Waghamon	LOC_Others
in	O
Kerala	LOC_Others
and	O
Halol	LOC_Others
near	O
Vadodara	LOC_Others
,	O
it	O
said	O
.	O
Qayamuddin	PER_Accused
and	O
Tauqeer	PER_Accused
then	O
held	O
a	O
meeting	O
with	O
their	O
local	O
contacts	O
in	O
the	O
city	O
for	O
arrangements	O
of	O
logistics	O
and	O
support	O
to	O
carry	O
out	O
the	O
conspiracy	O
.	O
The	O
local	O
contacts	O
were	O
those	O
who	O
were	O
associated	O
with	O
SIMI	ORG_Accused
before	O
it	O
was	O
banned	O
in	O
2001	O
by	O
the	O
Central	O
Government	O
.	O
Some	O
of	O
them	O
have	O
already	O
been	O
arrested	O
by	O
the	O
crime	O
branch	O
while	O
some	O
are	O
still	O
absconding	O
,	O
the	O
2000-page	O
chargesheet	O
stated	O
.	O
Gujarat	ORG_Others
police	ORG_Others
had	O
earlier	O
claimed	O
that	O
Abu	PER_Accused
Basher	PER_Accused
was	O
the	O
mastermind	O
behind	O
the	O
terror	O
attacks	O
in	O
the	O
city	O
.	O
