MUMBAI	LOC_Others
:	O
The	O
Shiv	ORG_Accused
Sena	ORG_Accused
on	O
Tuesday	O
alleged	O
that	O
Sadhvi	O
Pragya	PER_Accused
Singh	PER_Accused
Thakur	PER_Accused
,	O
arrested	O
in	O
connection	O
with	O
the	O
September	O
29	O
Malegaon	LOC_Event
blasts	O
,	O
was	O
a	O
victim	O
of	O
the	O
`	O
race	O
to	O
claim	O
credit	O
-LRB-	O
for	O
cracking	O
the	O
case	O
-RRB-	O
among	O
the	O
police	O
force	O
.	O
'	O
`	O
Police	O
never	O
get	O
their	O
hands	O
on	O
the	O
real	O
masterminds	O
of	O
blasts	O
...	O
They	O
just	O
pick	O
up	O
people	O
at	O
random	O
and	O
parade	O
them	O
before	O
the	O
media	O
and	O
congratulate	O
themselves	O
.	O
This	O
leads	O
to	O
a	O
race	O
to	O
grab	O
credit	O
-LRB-	O
for	O
cracking	O
cases	O
-RRB-	O
,	O
'	O
the	O
party	O
alleged	O
in	O
an	O
editorial	O
in	O
its	O
mouthpiece	O
,	O
Saamana	O
.	O
`	O
Pragya	PER_Accused
Singh	PER_Accused
is	O
a	O
victim	O
of	O
this	O
race	O
to	O
claim	O
credit	O
,	O
'	O
the	O
editorial	O
charged	O
.	O
It	O
further	O
said	O
that	O
in	O
today	O
's	O
atmosphere	O
of	O
insecurity	O
,	O
Muslim	O
fundamentalists	O
are	O
to	O
blame	O
if	O
at	O
all	O
a	O
Hindu	O
takes	O
to	O
terrorism	O
.	O
`	O
If	O
a	O
Hindu	O
organisation	O
is	O
taking	O
on	O
useless	O
secularism	O
,	O
the	O
Anti-Terrorist	O
Squad	O
must	O
not	O
brand	O
it	O
as	O
a	O
terrorist	O
outfit	O
,	O
'	O
it	O
said	O
.	O
The	O
editorial	O
also	O
condemned	O
the	O
attack	O
by	O
NCP	ORG_Others
workers	O
on	O
the	O
Vishwa	ORG_Others
Hindu	ORG_Others
Parishad	ORG_Others
office	O
in	O
Nashik	LOC_Event
in	O
the	O
wake	O
of	O
of	O
the	O
sadhvi	O
's	O
arrest	O
.	O
`	O
Just	O
because	O
NCP	ORG_Others
controls	O
the	O
home	O
ministry	O
-LRB-	O
in	O
the	O
state	O
-RRB-	O
,	O
we	O
hope	O
they	O
have	O
not	O
got	O
a	O
license	O
to	O
do	O
what	O
they	O
want	O
,	O
'	O
it	O
said	O
.	O
`	O
Why	O
did	O
they	O
ever	O
not	O
attack	O
SIMI	ORG_Others
offices	O
?	O
NCP	ORG_Others
member	O
advocate	O
Majid	PER_Others
Memon	PER_Others
defended	O
the	O
1993	O
blasts	O
'	O
accused	O
.	O
Has	O
anybody	O
ever	O
touched	O
him	O
?	O
'	O
it	O
asked	O
.	O
`	O
Those	O
who	O
put	O
Sadhvi	O
Pragya	PER_Accused
Singh	PER_Accused
behind	O
bars	O
and	O
those	O
who	O
attacked	O
the	O
VHP	ORG_Others
office	O
in	O
Nashik	LOC_Event
belong	O
to	O
the	O
same	O
club	O
,	O
'	O
the	O
editorial	O
accused	O
.	O
