MUMBAI	LOC_Event
:	O
Investigators	O
on	O
Saturday	O
claimed	O
they	O
have	O
obtained	O
`	O
good	O
leads	O
'	O
in	O
the	O
triple	O
explosions	O
,	O
ruled	O
out	O
involvement	O
of	O
a	O
suicide	O
bomber	O
and	O
said	O
a	O
suspect	O
's	O
sketch	O
may	O
be	O
prepared	O
soon	O
.	O
Maharashtra	O
ATS	O
chief	O
Rakesh	PER_Others
Maria	PER_Others
said	O
investigations	O
were	O
moving	O
in	O
a	O
`	O
certain	O
direction	O
'	O
but	O
refused	O
to	O
elaborate	O
.	O
As	O
investigators	O
struggled	O
for	O
a	O
breakthrough	O
three	O
days	O
after	O
the	O
terror	O
attack	O
,	O
police	O
teams	O
also	O
fanned	O
out	O
to	O
seven	O
states	O
widening	O
the	O
probe	O
to	O
get	O
definite	O
leads	O
in	O
a	O
desperate	O
hunt	O
for	O
the	O
bombers	O
.	O
He	O
said	O
sketch	O
of	O
a	O
probable	O
suspect	O
would	O
be	O
prepared	O
soon	O
based	O
on	O
certain	O
eyewitness	O
accounts	O
and	O
CCTV	O
footage	O
at	O
a	O
blast	O
site	O
.	O
Maria	PER_Others
also	O
made	O
it	O
clear	O
tht	O
till	O
the	O
case	O
is	O
`	O
cracked	O
'	O
and	O
people	O
involved	O
are	O
in	O
the	O
custody	O
of	O
the	O
police	O
they	O
would	O
not	O
like	O
to	O
speculate	O
which	O
group	O
was	O
involved	O
.	O
He	O
claimed	O
the	O
identification	O
of	O
persons	O
seen	O
in	O
the	O
CCTV	O
footages	O
was	O
on	O
and	O
stated	O
that	O
photograph	O
of	O
an	O
individual	O
seen	O
in	O
the	O
footage	O
needed	O
more	O
verification	O
.	O
`	O
At	O
this	O
stage	O
,	O
I	O
can	O
say	O
we	O
have	O
good	O
leads	O
and	O
I	O
am	O
not	O
in	O
a	O
position	O
to	O
reveal	O
what	O
the	O
clues	O
are	O
.	O
I	O
can	O
very	O
confidently	O
say	O
,	O
the	O
investigations	O
are	O
probably	O
moving	O
in	O
a	O
certain	O
direction	O
,	O
'	O
Maria	PER_Others
said	O
.	O
`	O
After	O
visiting	O
the	O
blast	O
sites	O
,	O
we	O
can	O
now	O
rule	O
out	O
the	O
possibility	O
of	O
suicide	O
bomber	O
,	O
'	O
the	O
ATS	ORG_Others
chief	O
added	O
.	O
Based	O
on	O
an	O
eyewitness	O
account	O
,	O
a	O
sketch	O
of	O
a	O
probable	O
suspect	O
